Song,Singers,Movie,Hero ,Director,Year
Sooda Oru Sooriyan,[' Deepak'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Paarai Mele,[' Yuvan Shankar Raja'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Maina Rendu,[' Vijay Yesudas'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Sathriyan Action Theme,0, Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Good Bad and Ugly,[' Aishvarya Khumar'], Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Kannungala Chellangala (Tribute To Kaviarasar Kannadasan),[' Yuvan Shankar Raja'], Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Maalai Varum Venn Ila,"[' Dhanush', ' Yuvan Shankar Raja']", Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
En Pondaati Ooruku Poita,"[' Yuvan Shankar Raja', ' S.J.Suryah']", Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Trend Song,[' STR'], Anbanavan Asaradhavan Adangadhavan, Silambarasan, Adhik Ravichandran.,2017
Neee En Kangal,[' Yuvan Shankar Raja'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Solli Tholaiyen Ma,[' Dhanush'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Ennulae,[' Tanvi Shah'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Naan Ini Kaatril,"[' Yuvan Shankar Raja', ' Chinmayi']", Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Neee En Kangal,[' Yuvan Shankar Raja'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Solli Tholaiyen Ma,[' Dhanush'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Ennulae,[' Tanvi Shah'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Naan Ini Kaatril,"[' Yuvan Shankar Raja', ' Chinmayi']", Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Yaaro Ucchikilai Meley,[' Yuvan Shankar Raja'], Taramani, Vasanth Ravi, Ram.,2017
Unn Badhil Vendi,"[' Siddharth', ' Sruthi S']", Taramani, Vasanth Ravi, Ram.,2017
Unnai Unnai Unnai,"[' Yuvan Shankar Raja', ' Sruthi S']", Taramani, Vasanth Ravi, Ram.,2017
Kaadhal Oru Kattukkadhai,"[' Suvi', ' Rita']", Taramani, Vasanth Ravi, Ram.,2017
Oru Koappai,[' Andrea Jeremiah'], Taramani, Vasanth Ravi, Ram.,2017
Paavangalai,"[' Mukesh', ' Senthil Das', ' Yuvan Shankar Raja']", Taramani, Vasanth Ravi, Ram.,2017
From The Bottom Of Our Hearts,0, Taramani, Vasanth Ravi, Ram.,2017
Endha Pakkam,"[' Chinmayi Sripada', ' Rahul Nanda']", Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Andipatti,"[' Senthildass', ' Surmukhi']", Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Poi Vaada,[' Srimathumitha'], Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Makka Kalanguthappa,[' Mathichiyam Bala'], Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
